Ticker,close,date,high,low,month,open,volume
TCS,3330.65,2023-11-01 05:30:00,3371.6,3311.0,2023-11,3355.0,1563475
TCS,3360.1,2023-11-02 05:30:00,3375.95,3343.2,2023-11,3343.2,1245384
TCS,3350.9,2023-11-03 05:30:00,3387.9,3344.3,2023-11,3382.0,1402598
TCS,3380.25,2023-11-06 05:30:00,3392.3,3359.0,2023-11,3375.0,1099852
TCS,3370.45,2023-11-07 05:30:00,3404.15,3366.0,2023-11,3378.0,1191144
TCS,3381.55,2023-11-08 05:30:00,3401.95,3369.55,2023-11,3371.45,992899
TCS,3347.45,2023-11-09 05:30:00,3391.5,3342.05,2023-11,3390.1,2112352
TCS,3333.45,2023-11-10 05:30:00,3347.45,3322.35,2023-11,3338.0,1338557
TCS,3357.3,2023-11-12 05:30:00,3359.0,3345.0,2023-11,3350.0,173346
TCS,3331.55,2023-11-13 05:30:00,3356.0,3327.0,2023-11,3356.0,1030990
TCS,3404.3,2023-11-15 05:30:00,3413.0,3356.05,2023-11,3383.1,2059802
TCS,3497.85,2023-11-16 05:30:00,3529.35,3414.2,2023-11,3430.05,3951984
TCS,3502.45,2023-11-17 05:30:00,3524.5,3492.55,2023-11,3497.85,2021292
TCS,3519.6,2023-11-20 05:30:00,3533.9,3491.25,2023-11,3491.25,1475621
TCS,3510.2,2023-11-21 05:30:00,3539.05,3501.0,2023-11,3519.6,1807236
TCS,3530.15,2023-11-22 05:30:00,3532.65,3481.1,2023-11,3500.0,1798051
TCS,3508.25,2023-11-23 05:30:00,3544.0,3500.0,2023-11,3530.0,2729804
TCS,3457.1,2023-11-24 05:30:00,3504.55,3453.0,2023-11,3494.25,1989733
TCS,3470.15,2023-11-28 05:30:00,3481.25,3433.0,2023-11,3457.1,1689195
TCS,3513.75,2023-11-29 05:30:00,3518.0,3475.8,2023-11,3481.0,1441634
TCS,3487.6,2023-11-30 05:30:00,3516.65,3481.0,2023-11,3499.45,3266235
TCS,3511.65,2023-12-01 05:30:00,3516.95,3490.05,2023-12,3500.0,1172141
TCS,3512.45,2023-12-04 05:30:00,3547.8,3498.0,2023-12,3544.65,1625213
TCS,3531.6,2023-12-05 05:30:00,3538.0,3502.8,2023-12,3538.0,1377656
TCS,3604.1,2023-12-06 05:30:00,3612.85,3525.15,2023-12,3532.6,1896572
TCS,3614.9,2023-12-07 05:30:00,3630.55,3591.7,2023-12,3605.0,1967653
TCS,3626.7,2023-12-08 05:30:00,3645.0,3602.05,2023-12,3633.0,1641155
TCS,3642.9,2023-12-11 05:30:00,3653.0,3615.0,2023-12,3622.9,1102503
TCS,3672.1,2023-12-12 05:30:00,3698.4,3631.0,2023-12,3638.95,2236866
TCS,3593.55,2023-12-13 05:30:00,3650.0,3563.0,2023-12,3643.55,3850968
TCS,3667.25,2023-12-14 05:30:00,3678.0,3627.6,2023-12,3630.0,3290396
TCS,3861.0,2023-12-15 05:30:00,3895.95,3666.7,2023-12,3666.7,8531230
TCS,3859.2,2023-12-18 05:30:00,3929.0,3830.15,2023-12,3858.1,2521612
TCS,3816.2,2023-12-19 05:30:00,3855.1,3790.0,2023-12,3845.0,2004435
TCS,3780.05,2023-12-20 05:30:00,3898.8,3766.55,2023-12,3827.25,2586083
TCS,3787.5,2023-12-21 05:30:00,3806.7,3743.35,2023-12,3756.25,1517562
TCS,3824.0,2023-12-22 05:30:00,3845.95,3762.0,2023-12,3800.0,2413058
TCS,3795.55,2023-12-26 05:30:00,3834.0,3790.15,2023-12,3819.85,1285231
TCS,3811.2,2023-12-27 05:30:00,3818.2,3768.0,2023-12,3799.0,1293976
TCS,3799.9,2023-12-28 05:30:00,3838.0,3792.1,2023-12,3824.0,1682889
TCS,3793.4,2023-12-29 05:30:00,3822.6,3765.4,2023-12,3792.0,1574996
TCS,3811.1,2024-01-01 05:30:00,3832.0,3773.0,2024-01,3790.0,825907
TCS,3783.2,2024-01-02 05:30:00,3811.1,3767.25,2024-01,3811.1,1344068
TCS,3691.75,2024-01-03 05:30:00,3771.85,3687.05,2024-01,3767.0,1803075
TCS,3666.8,2024-01-04 05:30:00,3719.0,3651.0,2024-01,3701.75,3598144
TCS,3737.9,2024-01-05 05:30:00,3747.75,3674.85,2024-01,3675.0,1963127
TCS,3678.3,2024-01-08 05:30:00,3739.75,3672.4,2024-01,3737.9,1067805
TCS,3689.9,2024-01-09 05:30:00,3752.35,3682.75,2024-01,3709.95,1370944
TCS,3713.05,2024-01-10 05:30:00,3729.25,3688.0,2024-01,3690.0,1292227
TCS,3735.55,2024-01-11 05:30:00,3773.0,3707.0,2024-01,3724.0,1777909
TCS,3882.8,2024-01-12 05:30:00,3905.25,3821.6,2024-01,3848.0,6813450
TCS,3903.8,2024-01-15 05:30:00,3965.0,3885.0,2024-01,3960.0,2801505
TCS,3861.3,2024-01-16 05:30:00,3899.0,3855.55,2024-01,3899.0,1432672
TCS,3884.6,2024-01-17 05:30:00,3909.95,3812.55,2024-01,3819.0,3458696
TCS,3902.6,2024-01-18 05:30:00,3908.8,3862.0,2024-01,3898.0,2239110
TCS,3943.05,2024-01-19 05:30:00,3963.55,3915.05,2024-01,3945.0,2941975
TCS,3860.65,2024-01-20 05:30:00,3955.65,3855.55,2024-01,3948.0,516477
TCS,3858.25,2024-01-23 05:30:00,3933.9,3842.75,2024-01,3900.0,2618854
TCS,3841.8,2024-01-24 05:30:00,3883.65,3805.6,2024-01,3880.0,2657709
TCS,3810.3,2024-01-25 05:30:00,3861.0,3778.7,2024-01,3839.9,2205154
TCS,3801.0,2024-01-29 05:30:00,3820.0,3780.85,2024-01,3800.8,1646747
TCS,3800.55,2024-01-30 05:30:00,3847.8,3787.0,2024-01,3807.45,1411621
TCS,3815.95,2024-01-31 05:30:00,3834.0,3796.45,2024-01,3811.2,2459358
TCS,3854.15,2024-02-01 05:30:00,3904.9,3805.05,2024-02,3820.0,2363107
TCS,3966.3,2024-02-02 05:30:00,3984.4,3872.0,2024-02,3875.05,2826510
TCS,3973.3,2024-02-05 05:30:00,4022.0,3962.1,2024-02,3983.0,1691523
TCS,4136.0,2024-02-06 05:30:00,4149.9,3990.0,2024-02,3997.0,4474396
TCS,4083.4,2024-02-07 05:30:00,4155.0,4073.95,2024-02,4153.0,2124267
